"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
1.53126832581866e-05,0.529239468737378,0.82,0.743,0.513556771113062,"RACK1","Not significant",4.81494870073757,4.81494870073757
1.56920695618655e-05,0.928282586013903,0.351,0.201,0.526280628965845,"EHD1","Not significant",4.80431977534066,4.80431977534066
1.61333693873658e-05,0.590897373179184,0.779,0.606,0.541080942513474,"RPL27","Not significant",4.79227492253497,4.79227492253497
1.63774471456407e-05,0.515748320004384,0.347,0.189,0.549266822370499,"SPHK1","Not significant",4.78575379347707,4.78575379347707
1.69544236941115e-05,0.421992892868754,0.645,0.458,0.568617461853112,"ATP5MG","Not significant",4.77071696794552,4.77071696794552
1.72064971820304e-05,0.941412173478963,0.283,0.141,0.577071502490936,"IGBP1","Not significant",4.76430753230752,4.76430753230752
1.86149307484441e-05,0.680671313487129,0.676,0.498,0.62430754744132,"DBI","Not significant",4.73013857511169,4.73013857511169
2.19833031453349e-05,0.357107650485309,0.853,0.783,0.737276020888241,"FAU","Not significant",4.65790705122045,4.65790705122045
2.31553686703288e-05,-0.836385013964851,0.609,0.679,0.776584754465487,"WSB1","Not significant",4.63534829995556,4.63534829995556
2.75009537908672e-05,0.432889283366412,0.517,0.333,0.922326988238105,"ZBTB43","Not significant",4.56065224366329,4.56065224366329
2.7526702680214e-05,0.457179176089544,0.791,0.703,0.923190554489017,"CD83","Not significant",4.56024580798742,4.56024580798742
2.76104527675421e-05,0.918473772826112,0.302,0.161,0.925999364917826,"CD48","Not significant",4.5589264715631,4.5589264715631
2.87270340618533e-05,0.558210379923244,0.661,0.498,0.963447268366437,"RPS26","Not significant",4.54170921066184,4.54170921066184
2.94037048649318e-05,0.571082803791328,0.659,0.478,0.986141453760084,"TREM2","Not significant",4.53159794506319,4.53159794506319
3.03994300862537e-05,0.407183853718211,0.872,0.787,1,"RPS15","Not significant",4.51713455825688,4.51713455825688
3.17063392228723e-05,0.501755861786561,0.711,0.558,1,"BTF3","Not significant",4.49885389821523,4.49885389821523
3.25076976319648e-05,0.756121516721353,0.55,0.394,1,"MRPL18","Not significant",4.48801378845962,4.48801378845962
3.25354931420304e-05,0.507980078260784,0.446,0.269,1,"ARF6","Not significant",4.48764260625794,4.48764260625794
3.70502272130505e-05,-1.58844741471406,0.161,0.269,1,"COLEC12","Not significant",4.4312091243359,4.4312091243359
3.75149569152919e-05,0.65693631515541,0.118,0.028,1,"MDK","Not significant",4.42579554798662,4.42579554798662
3.80036549131466e-05,1.18778595956697,0.107,0.02,1,"AL121603.2","Not significant",4.42017463411263,4.42017463411263
3.9329049976628e-05,-0.458731870581474,0.907,0.952,1,"MALAT1","Not significant",4.40528654417991,4.40528654417991
4.2035587195979e-05,0.645293086588301,0.31,0.161,1,"COX7A2L","Not significant",4.37638288153593,4.37638288153593
4.27807023053812e-05,0.803557781803665,0.287,0.145,1,"PLA2G16","Not significant",4.3687520901514,4.3687520901514
4.61739898062894e-05,0.10178597912123,0.349,0.197,1,"FAM49A","Not significant",4.33560259727058,4.33560259727058
4.71370350920615e-05,0.575462031451574,0.55,0.386,1,"SNRPB","Not significant",4.32663773796894,4.32663773796894
4.73602106512808e-05,1.57655061630889,0.205,0.088,1,"LINC01588","Not significant",4.32458637460259,4.32458637460259
5.06854290004587e-05,1.4310128947005,0.233,0.112,1,"ARC","Not significant",4.29511687329405,4.29511687329405
5.40332228150294e-05,0.591854517377265,0.562,0.398,1,"SLC25A5","Not significant",4.26733912816613,4.26733912816613
5.4179292529951e-05,0.56583920168509,0.698,0.57,1,"PLEK","Not significant",4.2661666702579,4.2661666702579
5.43082628423677e-05,0.564431586846564,0.601,0.438,1,"NDUFA4","Not significant",4.26513408875662,4.26513408875662
5.67288253542112e-05,0.80565772199614,0.355,0.201,1,"ZNFX1","Not significant",4.24619620898714,4.24619620898714
5.9365315203486e-05,0.704644732290151,0.26,0.124,1,"DOT1L","Not significant",4.22646722194394,4.22646722194394
6.02344943907744e-05,1.66366718313848,0.205,0.088,1,"OLFML3","Not significant",4.22015473078109,4.22015473078109
6.24657668332789e-05,0.212497271805903,0.267,0.129,1,"OXSR1","Not significant",4.2043579242323,4.2043579242323
7.34766619562513e-05,0.851169494075344,0.481,0.317,1,"PGLS","Not significant",4.13385058191045,4.13385058191045
7.35146140579343e-05,0.71141796095077,0.368,0.221,1,"CHMP4B","Not significant",4.13362631841468,4.13362631841468
7.47076293848931e-05,0.832421143322109,0.324,0.177,1,"SMAD7","Not significant",4.12663504436176,4.12663504436176
7.50367981339677e-05,-0.486566640728397,0.771,0.815,1,"GNAS","Not significant",4.12472570584457,4.12472570584457
7.53235670706446e-05,0.434407410980129,0.727,0.594,1,"EEF1D","Not significant",4.12306912144327,4.12306912144327
7.56547622651671e-05,0.934747287591201,0.457,0.309,1,"LY86","Not significant",4.12116372910296,4.12116372910296
7.59942769863027e-05,0.37991696388599,0.711,0.582,1,"HLA-DMA","Not significant",4.11921911254625,4.11921911254625
7.73451305731729e-05,0.620301290117716,0.419,0.261,1,"PTPN1","Not significant",4.11156702303468,4.11156702303468
